ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link,Renewable,Location,Extraction_Method,Reserves_Estimate,Energy_Density_J_kg,Scarcity_Score,Knowledge_Completeness,Hidden_Potential_Hypothesis,Potential_Realization_Rate
RES-FUEL_OIL_WTI_BATCH_01,WTI Crude (Batch 1),Crude oil. API: 40. Sulfur: 0.26%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,7.91,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '40', 'Sulfur': '0.26%'}",NULL,FALSE,USA,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_WTI_BATCH_02,WTI Crude (Batch 2),Crude oil. API: 40. Sulfur: 0.25%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,7.99,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '40', 'Sulfur': '0.25%'}",NULL,FALSE,USA,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_WTI_BATCH_03,WTI Crude (Batch 3),Crude oil. API: 40. Sulfur: 0.22%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,8.19,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '40', 'Sulfur': '0.22%'}",NULL,FALSE,USA,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_WTI_BATCH_04,WTI Crude (Batch 4),Crude oil. API: 40. Sulfur: 0.23%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,8.12,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '40', 'Sulfur': '0.23%'}",NULL,FALSE,USA,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_WTI_BATCH_05,WTI Crude (Batch 5),Crude oil. API: 40. Sulfur: 0.23%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,8.14,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '40', 'Sulfur': '0.23%'}",NULL,FALSE,USA,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_ARAB_LIGHT_BATCH_01,Arab Light (Batch 1),Crude oil. API: 33. Sulfur: 1.93%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,3.41,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '33', 'Sulfur': '1.93%'}",NULL,FALSE,Saudi Arabia,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_ARAB_LIGHT_BATCH_02,Arab Light (Batch 2),Crude oil. API: 33. Sulfur: 1.84%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,3.52,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '33', 'Sulfur': '1.84%'}",NULL,FALSE,Saudi Arabia,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_ARAB_LIGHT_BATCH_03,Arab Light (Batch 3),Crude oil. API: 33. Sulfur: 1.92%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,3.43,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '33', 'Sulfur': '1.92%'}",NULL,FALSE,Saudi Arabia,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_ARAB_LIGHT_BATCH_04,Arab Light (Batch 4),Crude oil. API: 33. Sulfur: 1.62%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,3.81,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '33', 'Sulfur': '1.62%'}",NULL,FALSE,Saudi Arabia,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_ARAB_LIGHT_BATCH_05,Arab Light (Batch 5),Crude oil. API: 33. Sulfur: 1.64%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,3.79,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '33', 'Sulfur': '1.64%'}",NULL,FALSE,Saudi Arabia,Drilling,Finite,45000000,0.4,0.99,None,1.0
